sample,condition,raw
BRAIN_01,Healthy,3344
BRAIN_01,Healthy,3465
BRAIN_01,Healthy,6618
BRAIN_01,Healthy,7268
BRAIN_01,Healthy,9874
BRAIN_01,Healthy,2040
BRAIN_01,Healthy,4156
BRAIN_01,Healthy,1734
BRAIN_01,Healthy,2028
BRAIN_01,Healthy,20002
BRAIN_01,Healthy,12889
BRAIN_01,Healthy,10400
BRAIN_01,Healthy,3221
BRAIN_01,Healthy,4717
BRAIN_01,Healthy,17842
BRAIN_01,Healthy,4895
BRAIN_01,Healthy,6968
BRAIN_01,Healthy,3362
BRAIN_01,Healthy,1371
BRAIN_01,Healthy,7623
BRAIN_01,Healthy,17742
BRAIN_01,Healthy,8206
BRAIN_01,Healthy,1319
BRAIN_01,Healthy,1576
BRAIN_01,Healthy,8956
BRAIN_01,Healthy,1758
BRAIN_01,Healthy,12421
BRAIN_01,Healthy,3730
BRAIN_01,Healthy,13751
BRAIN_01,Healthy,14288
BRAIN_01,Healthy,17336
BRAIN_01,Healthy,14996
BRAIN_01,Healthy,9916
BRAIN_01,Healthy,17911
BRAIN_01,Healthy,2741
BRAIN_01,Healthy,11078
BRAIN_01,Healthy,6373
BRAIN_01,Healthy,2424
BRAIN_01,Healthy,7851
BRAIN_01,Healthy,3952
BRAIN_01,Healthy,10268
BRAIN_01,Healthy,2926
BRAIN_01,Healthy,11561
BRAIN_01,Healthy,8773
BRAIN_01,Healthy,11153
BRAIN_01,Healthy,3023
BRAIN_01,Healthy,1600
BRAIN_01,Healthy,11505
BRAIN_01,Healthy,20769
BRAIN_01,Healthy,7315
BRAIN_01,Healthy,4436
BRAIN_01,Healthy,12481
BRAIN_01,Healthy,1748
BRAIN_01,Healthy,15502
BRAIN_01,Healthy,10618
BRAIN_01,Healthy,15799
BRAIN_01,Healthy,11914
BRAIN_01,Healthy,7555
BRAIN_01,Healthy,18012
BRAIN_01,Healthy,12788
BRAIN_01,Healthy,2026
BRAIN_01,Healthy,1857
BRAIN_01,Healthy,2736
BRAIN_01,Healthy,5396
BRAIN_01,Healthy,10599
BRAIN_01,Healthy,8847
BRAIN_01,Healthy,4923
BRAIN_01,Healthy,3779
BRAIN_01,Healthy,5817
BRAIN_01,Healthy,29611
BRAIN_01,Healthy,21863
BRAIN_01,Healthy,10050
BRAIN_01,Healthy,20499
BRAIN_01,Healthy,968
BRAIN_01,Healthy,3076
BRAIN_01,Healthy,1230
BRAIN_01,Healthy,19716
BRAIN_01,Healthy,2694
BRAIN_01,Healthy,2936
BRAIN_01,Healthy,1425
BRAIN_01,Healthy,12298
BRAIN_01,Healthy,2107
BRAIN_01,Healthy,2216
BRAIN_01,Healthy,13678
BRAIN_01,Healthy,14981
BRAIN_01,Healthy,1248
BRAIN_01,Healthy,13252
BRAIN_01,Healthy,12680
BRAIN_01,Healthy,12795
BRAIN_01,Healthy,14027
BRAIN_01,Healthy,4029
BRAIN_01,Healthy,4551
BRAIN_01,Healthy,5215
BRAIN_01,Healthy,14279
BRAIN_01,Healthy,2028
BRAIN_01,Healthy,32492
BRAIN_01,Healthy,6720
BRAIN_01,Healthy,2893
BRAIN_01,Healthy,8388
BRAIN_01,Healthy,10664
BRAIN_01,Healthy,2828
BRAIN_01,Healthy,8993
BRAIN_01,Healthy,24598
BRAIN_01,Healthy,1802
BRAIN_01,Healthy,17658
BRAIN_01,Healthy,8694
BRAIN_01,Healthy,19561
BRAIN_01,Healthy,12588
BRAIN_01,Healthy,26835
BRAIN_01,Healthy,8541
BRAIN_01,Healthy,1685
BRAIN_01,Healthy,20781
BRAIN_01,Healthy,4137
BRAIN_01,Healthy,4690
BRAIN_01,Healthy,4319
BRAIN_01,Healthy,5534
BRAIN_01,Healthy,9457
BRAIN_01,Healthy,7637
BRAIN_01,Healthy,9605
BRAIN_01,Healthy,11172
BRAIN_01,Healthy,6763
BRAIN_01,Healthy,5846
BRAIN_01,Healthy,10175
BRAIN_01,Healthy,13622
BRAIN_01,Healthy,9475
BRAIN_01,Healthy,3638
BRAIN_01,Healthy,2841
BRAIN_01,Healthy,22632
BRAIN_01,Healthy,1324
BRAIN_01,Healthy,1179
BRAIN_01,Healthy,9914
BRAIN_01,Healthy,16639
BRAIN_01,Healthy,8116
BRAIN_01,Healthy,1940
BRAIN_01,Healthy,13755
BRAIN_01,Healthy,29173
BRAIN_01,Healthy,14425
BRAIN_01,Healthy,15368
BRAIN_01,Healthy,2175
BRAIN_01,Healthy,1502
BRAIN_01,Healthy,2707
BRAIN_01,Healthy,11010
BRAIN_01,Healthy,13645
BRAIN_01,Healthy,9343
BRAIN_01,Healthy,9879
BRAIN_01,Healthy,2754
BRAIN_01,Healthy,11576
BRAIN_01,Healthy,10408
BRAIN_01,Healthy,2474
BRAIN_01,Healthy,7783
BRAIN_01,Healthy,7099
BRAIN_01,Healthy,11036
BRAIN_01,Healthy,15614
BRAIN_01,Healthy,32788
BRAIN_01,Healthy,16938
BRAIN_01,Healthy,8556
BRAIN_01,Healthy,11337
BRAIN_01,Healthy,5650
BRAIN_01,Healthy,11200
BRAIN_01,Healthy,3036
BRAIN_01,Healthy,2911
BRAIN_01,Healthy,9310
BRAIN_01,Healthy,9276
BRAIN_01,Healthy,13390
BRAIN_01,Healthy,987
BRAIN_01,Healthy,13449
