new,published,Freq,frac
11,NKTB,0,0
12,NKTB,1,0.001075268817204301
13,NKTB,0,0
14,NKTB,0,0
15,NKTB,0,0
16,NKTB,0,0
17,NKTB,0,0
18,NKTB,0,0
19,NKTB,868,0.9333333333333333
2,NKTB,0,0
20,NKTB,61,0.06559139784946237
21,NKTB,0,0
22,NKTB,0,0
23,NKTB,0,0
24,NKTB,0,0
25,NKTB,0,0
26,NKTB,0,0
3,NKTB,0,0
4,NKTB,0,0
5,NKTB,0,0
6,NKTB,0,0
7,NKTB,0,0
8,NKTB,0,0
9,NKTB,0,0
0,OPC/COP/OLG,4,8.148299042574863e-4
1,OPC/COP/OLG,0,0
10,OPC/COP/OLG,0,0
11,OPC/COP/OLG,6,0.0012222448563862294
12,OPC/COP/OLG,0,0
13,OPC/COP/OLG,0,0
14,OPC/COP/OLG,0,0
15,OPC/COP/OLG,367,0.07476064371562437
16,OPC/COP/OLG,0,0
17,OPC/COP/OLG,0,0
18,OPC/COP/OLG,0,0
19,OPC/COP/OLG,0,0
2,OPC/COP/OLG,62,0.012629863515991036
20,OPC/COP/OLG,1,2.0370747606437156e-4
21,OPC/COP/OLG,0,0
22,OPC/COP/OLG,0,0
23,OPC/COP/OLG,0,0
24,OPC/COP/OLG,4,8.148299042574863e-4
25,OPC/COP/OLG,1,2.0370747606437156e-4
26,OPC/COP/OLG,0,0
3,OPC/COP/OLG,1671,0.34039519250356487
4,OPC/COP/OLG,1,2.0370747606437156e-4
5,OPC/COP/OLG,0,0
6,OPC/COP/OLG,0,0
7,OPC/COP/OLG,2792,0.5687512731717254
8,OPC/COP/OLG,0,0
9,OPC/COP/OLG,0,0
