x,y,score
Neopl-COP,Neopl-CC-II,0.02
Neopl-COP,Neopl-CC-III,0.04
Neopl-COP,Neopl-OPC,0.45
Neopl-COP,Neopl-COP,NA
Neopl-COP,Neopl-NC,0.07
Neopl-COP,Neopl-ACR,0.18
Neopl-COP,Neopl-ECM,0.35
Neopl-COP,Neopl-RNA-low,0.14
Neopl-NC,Astrocyte TE,0.04
Neopl-NC,Astrocyte NT,0.04
Neopl-NC,Astrocyte R,0.02
Neopl-NC,OPC/COP/OLG,0.08
Neopl-NC,Neural,0.59
Neopl-NC,Ependymal,0.03
Neopl-NC,Microglia,-0.25
Neopl-NC,Macrophage,-0.23
Neopl-NC,Dendritic,-0.15
Neopl-NC,Neutrophil,-0.11
Neopl-NC,NKTB,-0.1
Neopl-NC,Choroid,0.03
Neopl-NC,Endothelial,-0.1
Neopl-NC,Mural,-0.06
Neopl-NC,Fibroblast,-0.03
Neopl-NC,Neopl-Bulk,0.23
Neopl-NC,Neopl-CC-I,0.14
Neopl-NC,Neopl-CC-II,0.03
Neopl-NC,Neopl-CC-III,0.02
Neopl-NC,Neopl-OPC,0.22
Neopl-NC,Neopl-COP,0.07
Neopl-NC,Neopl-NC,NA
Neopl-NC,Neopl-ACR,0.09
Neopl-NC,Neopl-ECM,0.03
Neopl-NC,Neopl-RNA-low,0.4
Neopl-ACR,Astrocyte TE,0.28
Neopl-ACR,Astrocyte NT,0.27
Neopl-ACR,Astrocyte R,0.67
Neopl-ACR,OPC/COP/OLG,0.04
Neopl-ACR,Neural,0.03
Neopl-ACR,Ependymal,0.06
Neopl-ACR,Microglia,-0.38
Neopl-ACR,Macrophage,-0.31
Neopl-ACR,Dendritic,-0.22
Neopl-ACR,Neutrophil,-0.15
Neopl-ACR,NKTB,-0.16
Neopl-ACR,Choroid,0.02
Neopl-ACR,Endothelial,-0.01
Neopl-ACR,Mural,0.1
Neopl-ACR,Fibroblast,0.25
Neopl-ACR,Neopl-Bulk,0.3
Neopl-ACR,Neopl-CC-I,0.09
Neopl-ACR,Neopl-CC-II,-0.01
Neopl-ACR,Neopl-CC-III,0.03
Neopl-ACR,Neopl-OPC,0.19
Neopl-ACR,Neopl-COP,0.18
Neopl-ACR,Neopl-NC,0.09
