Level_4,nCount_RNA,nFeature_RNA,percent.mt
Astrocyte NT,1911,1321,1.0465724751439036
OPC/COP/OLG,4086,2592,2.2026431718061676
Neural,15690,5249,0.9369024856596557
Microglia,12881,3797,1.0402919028025774
OPC/COP/OLG,11082,3679,3.807976899476629
Neural,7610,3732,0.9067017082785808
OPC/COP/OLG,8261,3204,6.609369325747489
Endothelial,3363,1864,0.47576568539994046
Microglia,12869,3798,1.0956562281451552
Endothelial,5458,2725,1.905459875412239
Astrocyte TE,7592,3270,0.7639620653319283
Astrocyte TE,5574,2886,1.901686401148188
Astrocyte TE,3801,2118,4.1041831097079715
Astrocyte TE,3056,1805,2.6178010471204187
Astrocyte TE,2497,1596,1.922306768121746
OPC/COP/OLG,18770,4824,1.9445924347362813
Microglia,14748,3943,1.1120151885001357
Microglia,10115,3576,0.4844290657439446
Microglia,10583,3570,0.24567702919776999
Astrocyte TE,3278,1962,3.3251982916412444
OPC/COP/OLG,1391,951,0.503235082674335
Microglia,14004,4069,2.1565267066552414
Microglia,13302,3813,0.8870846489249736
Astrocyte TE,2411,1171,1.3272501036914142
Mural,6824,3160,0.996483001172333
OPC/COP/OLG,11288,3902,2.4007795889440113
Astrocyte NT,21947,5510,0.21415227593748576
Fibroblast,3844,2104,1.2486992715920915
Astrocyte TE,1006,665,9.542743538767395
Dendritic,14131,3935,0.27598896044158233
Microglia,13664,4031,0.35860655737704916
Microglia,9145,3576,0.16402405686167304
Mural,3914,2147,2.8359734287174247
Microglia,11309,3869,0.40675568131576617
Microglia,20311,4496,1.7428979370784303
Astrocyte NT,3439,1949,5.902878743820878
Microglia,11060,3785,0.47016274864376134
Microglia,11426,3533,1.2602835638018555
OPC/COP/OLG,8860,4294,0.47404063205417607
OPC/COP/OLG,3952,2256,0.7338056680161943
Endothelial,3604,2089,0.776914539400666
Microglia,9574,3184,0.3864633382076457
Microglia,6179,2723,0.2589415763068458
Endothelial,2785,1569,0.718132854578097
OPC/COP/OLG,21063,5123,5.540521293263067
OPC/COP/OLG,18411,4788,3.812937917549291
Astrocyte TE,2162,1368,0.786308973172988
Neural,8374,3631,0.5493193217100549
Astrocyte TE,3618,2101,3.095632946379215
Endothelial,8954,3763,1.0721465266919812
Endothelial,6161,2875,1.1199480603798084
Microglia,13278,3948,1.1522819701762312
Microglia,11282,3632,0.8243219287360397
OPC/COP/OLG,7219,3782,0.2908990164842776
Microglia,9255,3489,0.713128038897893
Microglia,11148,3642,0.7445281664872623
Astrocyte TE,13772,3969,1.0020331106593088
Microglia,6386,2848,0.281866583150642
Ambiguous,2867,1892,3.2089291942797344
Ependymal,19634,5857,0.20372822654578793
Astrocyte TE,2112,1169,8.428030303030303
Astrocyte TE,14164,4404,1.2990680598700932
Astrocyte TE,7809,3418,0.20489179152260212
Astrocyte TE,8443,3534,0.4974535117849106
Microglia,14629,4245,2.0438854330439535
Astrocyte NT,1356,822,8.702064896755163
Macrophage,14488,4533,1.8360022087244618
OPC/COP/OLG,9325,4571,0.4182305630026809
Microglia,2423,1592,0.37144036318613294
Astrocyte TE,8742,3744,0.6977808281857698
Astrocyte TE,3019,1793,2.7492547201059954
Neural,8099,3812,0.6173601679219657
Astrocyte NT,2298,1429,3.4812880765883376
