Level_4,Hypoxia_score
Neopl-CC-III,-0.023579026787362234
Neopl-Bulk,0.0029739560933845777
Neopl-Bulk,-0.055905619709855636
Neopl-Bulk,-0.012137752171099692
Neopl-Bulk,-0.010532025162224401
Neopl-NC,0.11359089514432691
Neopl-Bulk,-0.010483799011311967
Neopl-CC-III,0.026567704325393682
Neopl-CC-I,-0.10457772279288516
Neopl-Bulk,0.1317610091489877
Neopl-Bulk,0.04600930282356175
Neopl-Bulk,-0.04046008866173856
Neopl-Bulk,0.10148608598639636
Neopl-Bulk,0.04004299988720578
Neopl-Bulk,-0.017917638579079964
Neopl-Bulk,0.21076116612436396
Neopl-Bulk,0.05187880101902448
Neopl-Bulk,0.07564739906796852
Neopl-Bulk,0.13250976263920694
Neopl-Bulk,0.024230800825635834
Neopl-CC-I,-0.04072979884796002
Neopl-Bulk,-0.023356813492359074
Neopl-CC-III,-0.0076648067409849086
Neopl-Bulk,0.11088440433806301
Neopl-Bulk,0.25980841904481944
Neopl-OPC,0.047960198818708
Neopl-Bulk,-0.03525611356739322
Neopl-Bulk,0.0045432014267033916
Neopl-CC-II,0.029451870271507474
Neopl-Bulk,0.022841004027760403
Neopl-Bulk,0.06664318397224528
Neopl-CC-II,0.04082261369517476
Neopl-Bulk,0.11400963208821635
Neopl-Bulk,0.10953665445124222
Neopl-Bulk,-0.0030430951715476606
Neopl-CC-III,0.02164212967548046
Neopl-CC-III,-0.07748896930059734
Neopl-NC,0.07709494860155947
Neopl-Bulk,0.05420820587190328
Neopl-CC-I,-0.04105128833213456
Neopl-ACR,0.15670325281165387
Neopl-Bulk,0.01976462634522952
Neopl-RNA-low,0.08949436420010559
Neopl-Bulk,0.1436585604845202
Neopl-Bulk,0.06693835386335151
Neopl-Bulk,0.09068787839656373
Neopl-RNA-low,0.0400523061961634
Neopl-Bulk,0.05614089708784009
Neopl-Bulk,0.08436188803511474
Neopl-CC-III,0.006675580074488374
Neopl-Bulk,-0.009014621903749742
Neopl-Bulk,0.022317510734264634
Neopl-Bulk,0.014280130654026835
Neopl-CC-II,-0.028056913481958823
Neopl-CC-III,0.013220756441606196
Neopl-Bulk,0.08115136154896169
Neopl-Bulk,-0.034175148192258864
Neopl-OPC,-0.024255141959421966
Neopl-Bulk,0.029989838978091654
Neopl-CC-III,-0.09083734356574111
Neopl-Bulk,0.05081519137531476
Neopl-CC-III,-0.003825683002294078
Neopl-Bulk,0.058170061836431974
Neopl-RNA-low,-0.07017674815109282
Neopl-CC-I,-0.0791184637859173
Neopl-Bulk,0.038115025829540905
Neopl-Bulk,0.038280525861994374
Neopl-CC-I,-0.016154213349198476
Neopl-CC-III,0.06813886763939575
Neopl-Bulk,-0.009199416529656057
Neopl-Bulk,0.24029919971001462
Neopl-CC-III,-0.0705499798702042
Neopl-CC-I,0.002960309754742596
Neopl-Bulk,0.002277228281531485
Neopl-CC-I,-0.04833366067650391
Neopl-Bulk,0.07391593739187297
Neopl-Bulk,0.3460202017046396
Neopl-CC-I,-0.006653075664594943
Neopl-Bulk,0.03735425486634891
Neopl-CC-III,0.02658534179570471
Neopl-OPC,0.015369864399271294
Neopl-Bulk,-0.00292432885203886
Neopl-CC-II,0.027674542996055596
Neopl-Bulk,0.010877939772063527
Neopl-Bulk,0.10723321368574257
Neopl-CC-II,0.10908397818786508
Neopl-OPC,-0.013498983765471817
Neopl-Bulk,0.10769489669855087
