module,px,py,score
Richards Developmental,-3595,-2080,0.06225508791053806
Richards Developmental,-1916,-1754,0.06159186738226438
Richards Developmental,-882,-1050,0.06555839995304744
Richards Developmental,-1218,-2289,0.02871694154923731
Richards Developmental,-2831,-1341,0.06768958218009474
Richards Developmental,-1805,-1507,0.08376501009549979
Richards Developmental,-3106,-1867,0.08174033572137196
Richards Developmental,-1693,-1135,0.07516819834425661
Richards Developmental,-1120,-3347,0.01840399145836609
Richards Developmental,-621,-2015,0.04610125143565749
Richards Developmental,-3380,-2206,0.07653162321036404
Richards Developmental,-845,-2883,0.0032682844828613306
Richards Developmental,-2775,-1187,0.05877169062942078
Richards Developmental,-1323,-1978,0.017006167417045914
Richards Developmental,-2302,-2589,0.08908379051309061
Richards Developmental,-2420,-3582,0.06138636770528247
Richards Developmental,-2256,-3429,0.017055981967434075
Richards Developmental,-1961,-915,0.055470082346517235
Richards Developmental,-2039,-3307,0.05086719688027304
Richards Developmental,-2193,-2528,0.09513876194254144
Richards Developmental,-1106,-1855,0.02925479066635442
Richards Developmental,-1062,-2943,0.02458821565018736
Richards Developmental,-2292,-1533,0.07123088623627757
Richards Developmental,-2883,-1186,0.06233053062824258
Richards Developmental,-561,-1426,0.02405938982569182
Richards Developmental,-1827,-3806,0.02835965011848786
Richards Developmental,-2396,-1097,0.06645610842242289
Richards Developmental,-3961,-802,0.04808431676282762
Richards Developmental,-1602,-2876,0.02984239016925873
Richards Developmental,-2627,-2648,0.07575950697572327
Richards Developmental,-688,-3413,0.04734999428908339
Richards Developmental,-1274,-2444,0.014310727303389684
Richards Developmental,-2286,-912,0.07181422983728394
Richards Developmental,-1766,-3030,0.049782101794366804
Richards Developmental,-742,-3319,0.04671741027674546
Richards Developmental,-3444,-3293,0.0336707790728082
Richards Developmental,-1752,-1601,0.08067452563822787
Richards Developmental,-614,-1332,0.04038646631043294
Richards Developmental,-3534,-1366,0.08372547813850947
Richards Developmental,-3541,-2173,0.06766044504087655
Richards Developmental,-2621,-2027,0.09463213387212469
Richards Developmental,-3012,-3359,0.07174737948580878
Richards Developmental,-724,-1517,0.07445777208497595
Richards Developmental,-1264,-1450,0.07940685267281704
Richards Developmental,-613,-1208,0.047619654904501846
Richards Developmental,-1338,-3469,0.003570314311759075
Richards Developmental,-2472,-3364,0.06325843134092654
Richards Developmental,-1754,-1787,0.05095673767268499
Richards Developmental,-2938,-1278,0.05662898284349874
Richards Developmental,-3499,-3386,0.02735757889188649
Richards Developmental,-3156,-1463,0.0650228635991205
Richards Developmental,-3319,-1492,0.07872034144425681
Richards Developmental,-1370,-1200,0.10049411354622535
Richards Developmental,-1708,-2626,0.062080600379128034
Richards Developmental,-2785,-2181,0.09635440974181896
Richards Developmental,-2309,-3273,0.035149037974851693
Richards Developmental,-1989,-3773,0.010071331279314047
Richards Developmental,-850,-3318,0.02522615873426287
Richards Developmental,-3607,-3322,0.0329715667842056
Richards Developmental,-2838,-2087,0.09521818260242254
Richards Developmental,-2201,-3274,0.03036261536002162
Richards Developmental,-3230,-3543,0.02183563654414579
Richards Developmental,-2890,-1869,0.07751505960541895
Richards Developmental,-2634,-3332,0.039436026299937435
Richards Developmental,-1716,-3496,0.020843441581440608
Richards Developmental,-2556,-940,0.0679525173222098
Richards Developmental,-715,-585,0.01600294503691537
Richards Developmental,-2934,-843,0.0845712451205896
Richards Developmental,-2285,-788,0.06849347132597793
Richards Developmental,-1338,-3531,0.025653952625981344
Richards Developmental,-1150,-892,0.06469971883826202
Richards Developmental,-1533,-1292,0.0943525869941733
Richards Developmental,-2566,-1934,0.08863415426131696
Richards Developmental,-1280,-3065,0.015980760492087437
Richards Developmental,-3155,-1338,0.0765497799491532
Richards Developmental,-1690,-824,0.08090642623143035
Richards Developmental,-1800,-1010,0.07582708029684508
Richards Developmental,-1228,-3346,0.012641956488990705
Richards Developmental,-1474,-827,0.08490700421859858
Richards Developmental,-2027,-2126,0.07051618701499128
Richards Developmental,-2735,-2585,0.07939227936776946
Richards Developmental,-1099,-1172,0.07191538797860302
Richards Developmental,-939,-1391,0.06010980423759571
Richards Developmental,-1261,-1139,0.07816698283922704
Richards Developmental,-1058,-2508,0.005587214563640634
Richards Developmental,-3548,-2857,0.01772745756042829
Richards Developmental,-2940,-1527,0.07689555258498364
Richards Developmental,-566,-1985,0.06759265344619853
Richards Developmental,-2950,-2459,0.09747595943443718
Richards Developmental,-2244,-2124,0.0803783997111824
Richards Developmental,-687,-3227,0.03352377880437443
Richards Developmental,-2453,-1438,0.08409473997316734
Richards Developmental,-2307,-3086,0.044344883070767546
Richards Developmental,-1765,-2905,0.06871076490012455
Richards Developmental,-3115,-2799,0.10020634854244945
Richards Developmental,-1881,-3774,0.03952576789342499
Richards Developmental,-2893,-2180,0.06094239484873695
Richards Developmental,-1260,-1077,0.08004310094103086
Richards Developmental,-2950,-2521,0.08462770171860727
Richards Developmental,-1373,-1511,0.08849075508435394
Richards Developmental,-3711,-2948,0.02709722235684868
Richards Developmental,-3439,-2796,0.01966009480581117
Richards Developmental,-2291,-1471,0.08539953869362504
Richards Developmental,-625,-2450,0.036725793480277255
Richards Developmental,-894,-2292,0.03960488262007533
Richards Developmental,-3545,-2546,0.08649566945897776
Richards Developmental,-454,-1551,0.04953441747886393
Richards Developmental,-2576,-2991,0.0955199047784697
Richards Developmental,-3424,-1242,0.07657199568512461
