gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,comparison,direction
Ctss,0.0035847155946516695,-0.24277416695489254,0.302,0.22,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Selenoi,0.429207428498396,-0.24308654629594662,0.246,0.217,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tmem138,0.8467369016113127,-0.24313080375043938,0.138,0.13,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tmem222,0.9694913595639896,-0.24325657284352142,0.348,0.323,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Inafm2,0.19983462669797802,-0.2433188702363862,0.221,0.184,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ctsl,0.21766964044855697,-0.24331999538354476,0.711,0.652,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Rora,0.6704077988499112,-0.24393602894101862,0.336,0.306,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Ank2,0.11065885588546394,-0.24412884685040792,0.822,0.767,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Phactr4,0.5116517565902476,-0.24414423434064714,0.273,0.24,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Slc25a25,0.7873859494133324,-0.24416705679491224,0.298,0.276,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Nrp1,0.9551404075688591,-0.2441687428519328,0.228,0.224,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Yipf3,0.5839728243460156,-0.2444646966232436,0.47,0.438,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tmem42,0.6697800326479302,-0.24467434008819922,0.097,0.104,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Tmem237,0.06940943297515134,-0.24487881645420106,0.248,0.192,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Pomt1,0.8036078352101501,-0.24495791990500448,0.163,0.15,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Immt,0.2837095480830157,-0.24501084768489503,0.422,0.36,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Trp53bp2,0.9908169804667527,-0.24511647108378198,0.239,0.229,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
Smim7,0.9058737239051051,-0.2453890809546855,0.492,0.449,1,Neopl-ACR_vs_Astrocyte-R,Shared/NS
