rank,ES
13875,-0.05411264545065031
13937,-0.057710602739415265
13938,-0.05451622798220257
13946,-0.05498048053559168
13947,-0.05177759159276729
14107,-0.06106264266054797
14108,-0.05769581404505908
14130,-0.05897250856687908
14131,-0.05558293929158531
14145,-0.056395381260016135
14146,-0.052991575511785016
14153,-0.05339779649600045
14154,-0.04998499183581839
14176,-0.0512616863576384
14177,-0.04783438990311839
14180,-0.04800848461063919
14181,-0.04457895810580126
14201,-0.04573958948927391
14202,-0.04229751687401251
14216,-0.043109958842443216
14217,-0.039647247341398795
14296,-0.04423174130611559
14297,-0.04069089672885973
14339,-0.043128222634152294
14340,-0.03954116809971442
14619,-0.05573197589915735
14620,-0.0518431868090804
14748,-0.0592712276633051
14749,-0.05524887579039783
14804,-0.05844061209494754
14805,-0.0543552532894539
14813,-0.05481950584284289
14814,-0.05071999469183974
14847,-0.05263503647456963
14848,-0.048491334437442024
14866,-0.04953590268256726
14867,-0.04537463890188542
14902,-0.04740574382296242
14903,-0.04320248418994377
15019,-0.04993414621408493
15020,-0.045590595867274764
15059,-0.047853827065046414
15060,-0.04346138002648836
15070,-0.044041695718224604
15071,-0.039622401675797225
15160,-0.04478721133225042
15161,-0.04023642402461436
15224,-0.04389241288255311
15225,-0.03926290952775857
15233,-0.03972716208114762
15234,-0.03508778096830678
15265,-0.036886759612689245
15266,-0.03220642360310655
15331,-0.03597847559939247
15332,-0.031202025914623066
15358,-0.0327108467131375
15359,-0.0278860417936867
15424,-0.031658093789972655
15425,-0.026729983705583216
15472,-0.029457467456743804
15473,-0.02445099945667839
15681,-0.03652156584479345
15682,-0.031133331405245324
15934,-0.04575728683700018
15935,-0.039857853028289925
16076,-0.048040304281771744
16077,-0.04177867202459562
16220,-0.05007718641642478
16221,-0.04344907242140039
16225,-0.04368119869809495
16226,-0.037038770749965755
16452,-0.05015390538320629
16453,-0.042807029937309005
16478,-0.04425781916664973
16479,-0.036822908159057866
16598,-0.04372866489071997
16599,-0.035765176456705294
16629,-0.03750612353191425
16630,-0.029380249226583555
16642,-0.03007662805666725
16643,-0.02185941102346789
16735,-0.027198315387441895
16736,-0.018421134549647666
16824,-0.023527912636927106
16825,-0.014177710687600431
16832,-0.014583931671815691
16833,-0.0051567302630533
16909,-0.009567129520249252
16910,4.965421018141569e-4
16921,-1.4180515909594307e-4
16922,0.01004928180823561
16967,0.007437861195422196
16968,0.018023761254324477
17133,0.008448552340675429
17134,0.021935933147632314
17513,0
